wavelength,transmittance 
531,0.000000118
532,6.6628999206841E-008
533,8.1199097223816E-008
534,4.1880298340402E-008
535,4.3402501148648E-008
536,0.00000001
537,3.6449801399385E-008
538,6.6359596928578E-008
539,6.844499722547E-008
540,1.2812799354833E-007
541,1.1780100095393E-007
542,1.393310000708E-008
543,7.764660026055E-009
544,8.0700701232672E-008
545,0.000000111
546,1.265249949256E-007
547,8.514410154703E-008
548,1.0701500130494E-008
549,1.2412900218806E-007
550,4.625859872931E-008
551,0.00000006
552,5.9232998950165E-008
553,0.000000106
554,1.0244399817338E-007
555,9.6306500552146E-008
556,5.9592100143391E-008
557,7.5243001163017E-008
558,4.1520897831049E-009
559,4.7648200052208E-008
560,2.2388800147155E-008
561,4.4705398494216E-008
562,1.0671099914816E-007
563,3.0089498892494E-008
564,0.000000065
565,7.5343500327563E-008
566,1.1841100189258E-007
567,6.8400900943288E-008
568,1.2610399835467E-007
569,0.000000012
570,6.2175800508157E-008
571,7.5767502494273E-008
572,6.8216301940538E-008
573,8.9276802839322E-008
574,9.5186102555544E-008
575,1.9745799662019E-008
576,6.9514797473857E-008
577,0.000000126
578,4.3761499313177E-008
579,6.6057900482974E-008
580,6.8565903177387E-008
581,5.5392102016327E-010
582,0.00000001
583,0.00000001
584,3.3528298359897E-008
585,0.000000029
586,3.9468698531664E-008
587,6.7708398887589E-009
588,0.00000001
589,6.7262199365814E-008
590,1.3898800332868E-008
591,2.3836699725166E-008
592,0.00000001
593,3.6075501697042E-008
594,8.8643998807925E-009
595,0.00000001
596,8.0616302966519E-008
597,5.6471800569113E-009
598,0.00000001
599,5.8790700308009E-008
600,0.00000001
601,0.00000001
602,0.00000001
603,1.6796599666691E-008
604,0.00000001
605,0.00000001
606,1.9796299710606E-008
607,5.4905800794813E-008
608,0.000000028
609,1.3897500039661E-008
610,7.6640098711778E-008
611,2.8875000168682E-008
612,6.6723501390697E-008
613,7.3804599765026E-008
614,6.8345599402164E-008
615,1.5456999236108E-008
616,2.5193900299314E-008
617,6.5579101260482E-008
618,9.7279702515607E-008
619,5.9629201132338E-008
620,5.0608100821137E-008
621,5.0867999590309E-008
622,6.1248499605426E-008
623,2.0383799537171E-008
624,8.633030290639E-008
625,9.8752996890994E-009
626,5.3655899279192E-008
627,1.776190039493E-008
628,3.3405100907657E-008
629,0.000000009
630,3.6176601270199E-008
631,4.2327098270789E-008
632,0.00000001
633,1.1873000360652E-008
634,5.4302301322195E-008
635,5.6088900635132E-008
636,3.6878098796933E-008
637,1.8787000399811E-008
638,9.5426301527368E-008
639,0.000000021
640,6.731539770044E-008
641,4.176159862368E-008
642,0.00000001
643,5.5911698382261E-008
644,3.1378000642235E-008
645,0.00000001
646,1.5438200051676E-008
647,0.00000001
648,0.00000001
649,1.9725199251752E-008
650,1.6288199233827E-008
651,5.7539498499182E-008
652,5.2290900498519E-008
653,6.6496397721494E-008
654,3.1940899702931E-008
655,2.9699899428692E-008
656,6.5732898235638E-008
657,6.7681199311664E-008
658,4.1693599683867E-008
659,5.7724399482595E-008
660,5.7321400959154E-008
661,7.7500196482561E-008
662,5.9767799598376E-008
663,0.000000018
664,8.9856996510207E-008
665,3.2528099325191E-008
666,0.00000001
667,3.8539301527862E-008
668,1.2338300336978E-007
669,4.218080107421E-009
670,3.3172501190393E-008
671,2.0584399962331E-008
672,0.000000015
673,7.7895002448258E-008
674,1.2949399774698E-007
675,3.9913000904335E-008
676,0.000000102
677,9.2412598462488E-008
678,8.3547597284905E-008
679,1.1414500278306E-007
680,0.000000077
681,2.0229700581353E-008
682,1.6911700129185E-007
683,6.3514498549466E-008
684,1.0683999818184E-007
685,1.8371099486103E-007
686,8.3257098992817E-008
687,4.3405801619656E-008
688,7.0607697466585E-008
689,2.7316698947288E-007
690,4.0816800606081E-007
691,1.0315400231775E-006
692,3.201299932698E-006
693,0.000009206
694,2.9538699891418E-005
695,0.000114841
696,0.000492796
697,0.00254774
698,0.0169824995
699,0.1336510032
700,0.6081640124
701,0.9548869729
702,0.976583004
703,0.9843569994
704,0.9865000248
705,0.984022975
706,0.9817119837
707,0.9810150266
708,0.9786869884
709,0.9758099914
710,0.9797539711
711,0.980437994
712,0.9832469821
713,0.9858019948
714,0.985714972
715,0.9857310057
716,0.9860079885
717,0.9870430231
718,0.9890580177
719,0.9897950292
720,0.9915739894
721,0.9917650223
722,0.9903889894
723,0.9901239872
724,0.9912040234
725,0.9931679964
726,0.9936059713
727,0.9958570004
728,0.9951999784
729,0.9980589747
730,0.9980840087
731,0.9944480062
732,0.992133975
733,0.9894880056
734,0.9886360168
735,0.9926890135
736,0.9895740151
737,0.9866120219
738,0.9878889918
739,0.9852280021
740,0.987785995
741,0.9847509861
742,0.9849079847
743,0.9829519987
744,0.9808070064
745,0.9785839915
746,0.9807699919
747,0.9796140194
748,0.9806209803
749,0.9828360081
750,0.9867929816
751,0.9840959907
